SKU-1,Product Category,Product Type
TK3344,Phụ kiện,Phụ kiện
TK3367,Túi,Phụ kiện
TK3369,Phụ kiện,Phụ kiện
TK3370,Phụ kiện,Phụ kiện
TK3371,Phụ kiện,Phụ kiện
TK3372,Phụ kiện,Phụ kiện
TK3401,Phụ kiện,Phụ kiện
TK3402,Phụ kiện,Phụ kiện
TK3403,Phụ kiện,Phụ kiện
TK3506,Phụ kiện,Phụ kiện
TK356,Áo kiểu,Tiệc/ Công sở
TK3610,Phụ kiện,Phụ kiện
TK64,Quần dài,Công sở
V1191,Chân váy dài,Công sở
V1258,Chân váy ngắn,Lifestyle
V1487,Chân váy ngắn,Tiệc
V1629,Chân váy dài,Tiệc/ Công sở
V1717S,Chân váy ngắn,Lifestyle
V1722,Chân váy ngắn,Tiệc
V1912,Chân váy dài,Công sở
V1924,Chân váy dài,Công sở
V2140,Chân váy ngắn,Công sở
V2146,Chân váy dài,Tiệc/ Công sở
V2371,Chân váy dài,Tiệc/ Công sở
V2399,Chân váy dài,Tiệc/ Công sở
V2662,Chân váy dài,Tiệc/ Công sở
V3239,Chân váy dài,Lifestyle
V3323,Chân váy dài,Lifestyle
V3347,Chân váy ngắn,Lifestyle
V3408,Chân váy dài,Tiệc
V3455,Chân Váy Ngắn,Lifestyle
V3485,Chân Váy Jean,Lifestyle
V3488,Chân Váy Jean,Lifestyle
V3544,Chân Váy Dài,Công sở
V3556,Chân Váy Dài,Công sở
V3578,Chân Váy Dài,Tiệc
V3609,Chân Váy Dài,Tiệc
